Track	Block	Day No	Starting Time	Ending Time
C1	AX	1	Day1,0:52	Day1,5:27
C1	AF	1	Day1,5:27	Day1,7:47
C1	AJ	1	Day1,7:47	Day1,8:33
C1	AF	1	Day1,8:33	Day1,10:16
C1	AD	1	Day1,10:16	Day1,15:19
C1	BE	1	Day1,15:19	Day1,18:15
C1	BA	1	Day1,18:15	Day1,18:48
C1	AE	1	Day1,18:48	Day1,19:30
C1	AH	1	Day1,19:30	Day2,3:15
C1	BC	2	Day2,3:15	Day2,11:51
C1	AK	2	Day2,11:51	Day2,12:47
C1	AR	2	Day2,12:47	Day2,14:33
C1	AH	2	Day2,14:33	Day2,15:15
C1	AV	2	Day2,15:15	Day2,21:29
C1	AH	2	Day2,21:29	Day2,21:57
C1	AP	2	Day2,21:57	Day3,1:26
C1	BE	3	Day3,1:26	Day3,1:54
C1	AW	3	Day3,1:54	Day3,2:31
C1	AK	3	Day3,2:31	Day3,10:4
C1	AU	3	Day3,10:4	Day3,14:52
C1	BD	3	Day3,14:52	Day3,18:20
C1	AH	3	Day3,18:20	Day3,19:11
C1	AR	3	Day3,19:11	Day3,19:53
C1	BE	3	Day3,19:53	Day3,20:26
C1	AH	3	Day3,20:26	Day3,20:59
C1	AL	3	Day3,20:59	Day4,7:30
C1	AV	4	Day4,7:30	Day4,10:45
C1	AC	4	Day4,10:45	Day4,11:22
C1	AF	4	Day4,11:22	Day4,17:21
C1	AH	4	Day4,17:21	Day4,18:16
C1	BB	4	Day4,18:16	Day5,1:35
C1	AK	5	Day5,1:35	Day5,2:8
C1	AR	5	Day5,2:8	Day5,7:15
C1	AV	5	Day5,7:15	Day5,9:2
C1	AN	5	Day5,9:2	Day5,13:14
C1	AJ	5	Day5,13:14	Day5,16:34
C1	AH	5	Day5,16:34	Day5,17:58
C1	AX	5	Day5,17:58	Day5,23:44
C1	AY	5	Day5,23:44	Day6,4:59
C1	AV	6	Day6,4:59	Day6,9:51
C1	AV	6	Day6,9:51	Day6,14:24
C1	AH	6	Day6,14:24	Day6,17:34
C1	AR	6	Day6,17:34	Day6,21:17
C1	AW	6	Day6,21:17	Day7,0:40
C1	AW	7	Day7,0:40	Day7,4:9
C1	AW	7	Day7,4:9	Day7,7:25
C1	AF	7	Day7,7:25	Day7,10:26
C1	AF	7	Day7,10:26	Day7,12:3
C1	AX	7	Day7,12:3	Day7,16:14
C1	AR	7	Day7,16:14	Day7,21:15
C1	AR	7	Day7,21:15	Day7,23:26
C1	AA	7	Day7,23:26	Day8,6:5
C1	AA	8	Day8,6:5	Day8,13:43
C1	AF	8	Day8,13:43	Day8,15:45
C1	AW	8	Day8,15:45	Day8,18:5
C1	AH	8	Day8,18:5	Day8,18:52
C1	BC	8	Day8,18:52	Day8,19:39
C1	AW	8	Day8,19:39	Day9,0:27
C1	AP	9	Day9,0:27	Day9,0:55
C1	AW	9	Day9,0:55	Day9,1:19
C1	BE	9	Day9,1:19	Day9,8:41
C1	AN	9	Day9,8:41	Day9,10:13
C1	AW	9	Day9,10:13	Day9,11:27
C1	AH	9	Day9,11:27	Day9,16:14
C1	AJ	9	Day9,16:14	Day9,16:47
C1	BA	9	Day9,16:47	Day9,21:27
C1	AT	9	Day9,21:27	Day9,22:22
C1	AH	9	Day9,22:22	Day10,1:22
C1	AU	10	Day10,1:22	Day10,5:38
C1	AH	10	Day10,5:38	Day10,6:6
C1	AP	10	Day10,6:6	Day10,7:1
C1	AH	10	Day10,7:1	Day10,13:39
C1	AC	10	Day10,13:39	Day10,14:35
C1	BA	10	Day10,14:35	Day10,16:58
C1	BF	10	Day10,16:58	Day10,17:35
C1	AR	10	Day10,17:35	Day10,18:13
C1	AF	10	Day10,18:13	Day10,18:50
C1	AP	10	Day10,18:50	Day11,4:30
C1	AQ	11	Day11,4:30	Day11,6:54
C1	AH	11	Day11,6:54	Day11,11:57
C1	AE	11	Day11,11:57	Day11,12:39
C1	AX	11	Day11,12:39	Day11,18:16
C1	AN	11	Day11,18:16	Day11,23:9
C1	BG	11	Day11,23:9	Day11,23:51
C1	AP	12	Day11,23:51	Day12,7:6
C1	AV	12	Day12,7:6	Day12,7:44
C1	AF	12	Day12,7:44	Day12,14:50
C1	AX	12	Day12,14:50	Day12,21:8
C1	AY	12	Day12,21:8	Day13,1:4
C1	AK	13	Day13,1:4	Day13,2:28
C1	AC	13	Day13,2:28	Day13,5:42
C1	AP	13	Day13,5:42	Day13,6:11
C1	BE	13	Day13,6:11	Day13,14:6
C1	AV	13	Day13,14:6	Day13,18:6
C1	AW	13	Day13,18:6	Day13,20:25
C1	AY	13	Day13,20:25	Day13,22:21
C1	AW	13	Day13,22:21	Day14,0:17
C1	AW	14	Day14,0:17	Day14,2:41
C1	AK	14	Day14,2:41	Day14,3:5
C1	BF	14	Day14,3:5	Day14,3:28
C1	AM	14	Day14,3:28	Day14,12:49
C1	AP	14	Day14,12:49	Day14,15:13
C1	AE	14	Day14,15:13	Day14,15:42
C1	AN	14	Day14,15:42	Day14,19:19
C1	AP	14	Day14,19:19	Day14,22:6
C1	AK	14	Day14,22:6	Day14,22:39
C1	AP	14	Day14,22:39	Day15,3:38
C1	AD	15	Day15,3:38	Day15,4:20
C1	AX	15	Day15,4:20	Day15,11:59
C1	AK	15	Day15,11:59	Day15,15:47
C1	AH	15	Day15,15:47	Day15,16:43
C1	AB	15	Day15,16:43	Day15,18:29
C1	AB	15	Day15,18:29	Day15,22:25
C1	AW	15	Day15,22:25	Day16,1:44
C1	AW	16	Day16,1:44	Day16,4:36
C1	AB	16	Day16,4:36	Day16,10:52
C1	AH	16	Day16,10:52	Day16,13:3
C1	AV	16	Day16,13:3	Day16,16:18
C1	AR	16	Day16,16:18	Day16,18:20
C1	AH	16	Day16,18:20	Day16,19:58
C1	AH	16	Day16,19:58	Day16,21:12
C1	AY	16	Day16,21:12	Day16,22:27
C1	AW	16	Day16,22:27	Day16,23:32
C1	BA	16	Day16,23:32	Day17,0:47
C1	AD	17	Day17,0:47	Day17,1:15
C1	AJ	17	Day17,1:15	Day17,1:57
C1	AS	17	Day17,1:57	Day17,9:56
C1	AW	17	Day17,9:56	Day17,10:52
C1	AK	17	Day17,10:52	Day17,15:59
C1	AY	17	Day17,15:59	Day17,18:51
C1	AF	17	Day17,18:51	Day17,19:19
C1	AP	17	Day17,19:19	Day17,23:39
C1	AF	17	Day17,23:39	Day18,0:8
C1	BB	18	Day18,0:8	Day18,3:55
C1	AX	18	Day18,3:55	Day18,4:32
C1	AX	18	Day18,4:32	Day18,9:59
C1	BF	18	Day18,9:59	Day18,14:19
C1	AR	18	Day18,14:19	Day18,17:38
C1	AD	18	Day18,17:38	Day18,18:33
C1	AE	18	Day18,18:33	Day19,1:36
C2	AR	1	Day1,0:52	Day1,5:27
C2	AW	1	Day1,5:27	Day1,7:47
C2	AK	1	Day1,7:47	Day1,10:16
C2	BE	1	Day1,10:16	Day1,15:19
C2	AM	1	Day1,15:19	Day1,18:15
C2	AH	1	Day1,18:15	Day1,18:48
C2	AW	1	Day1,18:48	Day1,19:30
C2	BB	1	Day1,19:30	Day2,3:15
C2	AT	2	Day2,3:15	Day2,4:6
C2	AN	2	Day2,4:6	Day2,11:51
C2	AD	2	Day2,11:51	Day2,12:47
C2	AH	2	Day2,12:47	Day2,14:33
C2	AK	2	Day2,14:33	Day2,15:15
C2	AJ	2	Day2,15:15	Day2,21:29
C2	AJ	2	Day2,21:29	Day2,21:57
C2	AE	2	Day2,21:57	Day3,1:26
C2	AC	3	Day3,1:26	Day3,1:54
C2	BC	3	Day3,1:54	Day3,2:31
C2	AJ	3	Day3,2:31	Day3,10:4
C2	AD	3	Day3,10:4	Day3,14:52
C2	AD	3	Day3,14:52	Day3,18:20
C2	BF	3	Day3,18:20	Day3,19:11
C2	AH	3	Day3,19:11	Day3,19:53
C2	AX	3	Day3,19:53	Day3,20:26
C2	AW	3	Day3,20:26	Day4,7:30
C2	AW	4	Day4,7:30	Day4,10:45
C2	BF	4	Day4,10:45	Day4,11:22
C2	AR	4	Day4,11:22	Day4,17:21
C2	AC	4	Day4,17:21	Day4,18:16
