outbound Train No	Day No	PullBack engine No	Starting time of pullback job	ending time of pullback job	departure time at departure area	Departure track No	Number of blocks	number of railcars	destination of blocks(associated number of cars)
o1	1	2	Day1,1:15	Day1,1:40	Day1,2:25	2	2	4	AB(3);AD(1);
o2	1	1	Day1,1:15	Day1,1:55	Day1,2:40	1	3	7	AR(4);AY(2);AW(1);
o3	1	2	Day1,1:40	Day1,2:20	Day1,3:5	3	3	5	AX(2);AC(2);AG(1);
o4	1	1	Day1,1:55	Day1,2:20	Day1,3:15	4	2	3	AV(2);AZ(1);
o5	1	2	Day1,2:20	Day1,3:0	Day1,3:45	6	3	4	AT(2);AK(1);AH(1);
o6	1	2	Day1,3:0	Day1,3:10	Day1,3:55	1	1	1	AM(1);
o7	1	1	Day1,2:20	Day1,3:15	Day1,4:5	5	4	5	AN(2);AP(1);AJ(1);BC(1);
o8	1	2	Day1,3:10	Day1,3:20	Day1,4:15	2	1	1	AE(1);
o9	1	1	Day1,6:0	Day1,6:40	Day1,7:25	3	3	13	AW(8);AF(3);AY(2);
o10	1	1	Day1,6:40	Day1,6:50	Day1,7:35	1	1	4	BD(4);
o11	1	2	Day1,6:0	Day1,7:10	Day1,7:55	4	5	11	BG(4);AP(2);AN(2);AJ(2);AA(1);
o12	1	1	Day1,6:50	Day1,7:15	Day1,8:5	2	2	6	AX(3);AC(3);
o13	1	2	Day1,7:10	Day1,7:35	Day1,8:20	5	2	4	AK(2);AH(2);
o14	1	1	Day1,7:15	Day1,7:55	Day1,8:40	6	3	4	AU(2);AD(1);AS(1);
o15	1	2	Day1,7:35	Day1,8:0	Day1,8:50	1	2	3	BF(2);BE(1);
o16	1	2	Day1,8:0	Day1,8:10	Day1,9:0	4	1	1	AM(1);
o17	1	2	Day1,8:10	Day1,8:20	Day1,9:10	2	1	1	AV(1);
o18	1	1	Day1,7:55	Day1,8:20	Day1,9:20	3	2	2	AI(1);AL(1);
o19	1	1	Day1,8:20	Day1,8:30	Day1,9:30	5	1	1	BC(1);
o20	1	2	Day1,8:33	Day1,8:58	Day1,9:43	7	2	10	AV(8);AZ(2);
o21	1	1	Day1,8:40	Day1,9:20	Day1,10:5	6	3	13	AW(6);AF(4);AB(3);
o22	1	2	Day1,8:58	Day1,10:8	Day1,10:53	1	5	17	AP(5);AJ(4);BG(3);AA(3);AN(2);
o23	1	1	Day1,10:16	Day1,10:41	Day1,11:26	2	2	25	AH(14);AK(11);
o24	1	2	Day1,10:16	Day1,10:56	Day1,11:41	3	3	18	AW(10);AF(4);AY(4);
o25	1	2	Day1,10:56	Day1,12:6	Day1,12:51	1	5	20	AP(7);AA(4);BG(4);AJ(4);AN(1);
o26	1	1	Day1,10:41	Day1,12:6	Day1,13:1	4	6	20	AD(9);AS(4);AU(2);BB(2);AB(2);BA(1);
o27	1	1	Day1,12:6	Day1,12:31	Day1,13:16	2	2	11	AX(7);AC(4);
o28	1	2	Day1,12:6	Day1,12:31	Day1,13:26	3	2	8	BD(4);AQ(4);
o29	1	1	Day1,12:31	Day1,12:56	Day1,13:41	5	2	7	AZ(4);AV(3);
o30	1	2	Day1,12:31	Day1,12:56	Day1,13:51	6	2	7	BE(4);BF(3);
o31	1	2	Day1,12:56	Day1,13:6	Day1,14:1	7	1	4	AO(4);
o32	1	2	Day1,13:6	Day1,13:16	Day1,14:11	4	1	4	AR(4);
o33	1	1	Day1,12:56	Day1,13:21	Day1,14:21	1	2	5	AL(4);AI(1);
o34	1	2	Day1,13:16	Day1,13:26	Day1,14:31	2	1	4	AM(4);
o35	1	1	Day1,13:26	Day1,13:36	Day1,14:41	3	1	3	AE(3);
o36	1	2	Day1,13:41	Day1,13:51	Day1,14:51	5	1	2	BC(2);
o37	1	1	Day1,13:51	Day1,14:1	Day1,15:1	6	1	2	AT(2);
o38	1	2	Day1,14:1	Day1,14:11	Day1,15:11	7	1	6	AV(6);
o39	1	1	Day1,14:11	Day1,14:51	Day1,15:36	4	3	9	AH(5);AK(3);AE(1);
o40	1	2	Day1,15:19	Day1,15:44	Day1,16:29	1	2	26	AH(15);AK(11);
o41	1	1	Day1,15:19	Day1,15:59	Day1,16:44	2	3	28	AW(14);AB(9);AF(5);
o42	1	1	Day1,15:59	Day1,16:39	Day1,17:24	4	3	28	AP(11);AJ(10);BE(7);
o43	1	2	Day1,15:44	Day1,16:54	Day1,17:39	3	5	23	AD(11);AU(4);BA(3);AS(3);BB(2);
o44	1	1	Day1,16:39	Day1,17:19	Day1,18:4	1	3	23	AX(11);AC(11);AG(1);
o45	1	2	Day1,16:54	Day1,17:19	Day1,18:14	2	2	12	AV(10);AZ(2);
o46	1	1	Day1,17:19	Day1,17:44	Day1,18:29	5	2	12	AQ(8);BD(4);
o47	1	2	Day1,17:19	Day1,17:44	Day1,18:39	6	2	16	AR(8);AY(8);
o48	1	2	Day1,17:44	Day1,17:54	Day1,18:49	4	1	6	AE(6);
o49	1	2	Day1,17:54	Day1,18:19	Day1,19:4	7	2	7	AI(5);AL(2);
o50	1	1	Day1,17:44	Day1,18:24	Day1,19:14	3	3	18	BG(7);AN(7);AA(4);
o51	1	2	Day1,18:19	Day1,18:29	Day1,19:24	1	1	5	BF(5);
o52	1	1	Day1,18:24	Day1,18:34	Day1,19:34	2	1	5	AM(5);
o53	1	2	Day1,18:29	Day1,18:39	Day1,19:44	5	1	3	BC(3);
o54	1	1	Day1,18:39	Day1,18:49	Day1,19:54	6	1	2	AT(2);
o55	1	2	Day1,18:49	Day1,18:59	Day1,20:4	4	1	1	AO(1);
o56	1	1	Day1,19:4	Day1,19:14	Day1,20:14	7	1	26	AW(26);
o57	1	2	Day1,19:14	Day1,19:39	Day1,20:24	3	2	43	AH(24);AK(19);
o58	1	1	Day1,19:24	Day1,19:49	Day1,20:34	1	2	23	AV(20);AZ(3);
o59	1	2	Day1,19:39	Day1,20:4	Day1,20:49	2	2	28	AR(18);AY(10);
o60	1	1	Day1,19:49	Day1,20:14	Day1,20:59	5	2	30	AP(15);AN(15);
o61	1	2	Day1,20:4	Day1,20:44	Day1,21:29	6	3	23	AX(14);AC(7);AG(2);
o62	1	1	Day1,20:14	Day1,20:54	Day1,21:39	4	3	28	AF(13);AD(8);BB(7);
o63	1	2	Day1,20:44	Day1,21:9	Day1,21:54	1	2	12	BF(11);BE(1);
o64	1	2	Day1,21:9	Day1,21:19	Day1,22:4	3	1	7	AE(7);
o65	1	1	Day1,20:54	Day1,21:34	Day1,22:19	2	3	26	AA(11);BG(8);AJ(7);
o66	1	2	Day1,21:19	Day1,21:44	Day1,22:29	5	2	10	AL(7);AI(3);
o67	1	1	Day1,21:34	Day1,21:44	Day1,22:39	6	1	6	AM(6);
o68	1	2	Day1,21:44	Day1,21:54	Day1,22:49	7	1	6	AT(6);
o69	2	2	Day1,21:54	Day1,22:19	Day1,23:4	1	2	9	BD(5);AQ(4);
o70	2	2	Day1,22:19	Day1,22:29	Day1,23:14	2	1	4	BC(4);
o71	2	1	Day1,21:44	Day1,22:39	Day1,23:24	4	4	16	AS(6);BA(4);AB(4);AU(2);
o72	2	2	Day1,22:29	Day1,22:39	Day1,23:34	3	1	3	AO(3);
o73	2	2	Day1,22:39	Day1,23:4	Day1,23:49	6	2	5	AZ(3);AV(2);
o74	2	1	Day1,22:39	Day1,23:19	Day2,0:4	5	3	10	AH(5);AK(4);AE(1);
o75	2	1	Day1,23:19	Day1,23:44	Day2,0:29	2	2	4	AX(3);AC(1);
