Car No	Destination of block	Inbound Train No	ArrivalDay No	arriving time at receivingarea	Receiving track No	Starting time of humping job	    Ending time of humping job	Departure Day No	Pull back engine No	Starting time of pull back job	Ending time of pull back job	Departure time at departure area	    outbound Train No	Departure track No
9	AB	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,1:15	Day1,1:40	Day1,2:25	o1	D2
12	AB	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,1:15	Day1,1:40	Day1,2:25	o1	D2
25	AB	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,1:15	Day1,1:40	Day1,2:25	o1	D2
8	AD	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,1:15	Day1,1:40	Day1,2:25	o1	D2
2	AR	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:15	Day1,1:55	Day1,2:40	o2	D1
7	AR	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:15	Day1,1:55	Day1,2:40	o2	D1
11	AR	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:15	Day1,1:55	Day1,2:40	o2	D1
16	AR	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:15	Day1,1:55	Day1,2:40	o2	D1
5	AY	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:15	Day1,1:55	Day1,2:40	o2	D1
30	AY	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:15	Day1,1:55	Day1,2:40	o2	D1
22	AW	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:15	Day1,1:55	Day1,2:40	o2	D1
1	AX	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,1:40	Day1,2:20	Day1,3:5	o3	D3
28	AX	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,1:40	Day1,2:20	Day1,3:5	o3	D3
15	AC	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,1:40	Day1,2:20	Day1,3:5	o3	D3
29	AC	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,1:40	Day1,2:20	Day1,3:5	o3	D3
20	AG	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,1:40	Day1,2:20	Day1,3:5	o3	D3
4	AV	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:55	Day1,2:20	Day1,3:15	o4	D4
10	AV	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:55	Day1,2:20	Day1,3:15	o4	D4
3	AZ	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	1	Day1,1:55	Day1,2:20	Day1,3:15	o4	D4
23	AT	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,2:20	Day1,3:0	Day1,3:45	o5	D6
24	AT	i1	1	Day1,0:17	R1	Day1,1:2	Day1,1:15	1	2	Day1,2:20	Day1,3:0	Day1,3:45	o5	D6
