Track No	Number of blocks	number of railcars	destination of blocks
C1	1	3	AT(3);
C2	0	0	
C3	1	4	AP(4);
C4	0	0	
C5	1	2	AF(2);
C6	1	7	BG(7);
C7	1	21	AV(21);
C8	1	10	AX(10);
C9	0	0	
C10	1	6	AK(6);
C11	0	0	
C12	0	0	
C13	1	15	AH(15);
C14	1	3	BD(3);
C15	1	4	AW(4);
C16	1	10	AY(10);
C17	1	10	AM(10);
C18	1	5	AC(5);
C19	1	4	AU(4);
C20	1	8	AD(8);
C21	1	7	AI(7);
C22	1	17	AO(17);
C23	0	0	
C24	0	0	
C25	1	5	AG(5);
C26	1	9	AL(9);
C27	1	3	AE(3);
C28	0	0	
C29	0	0	
C30	1	4	AR(4);
C31	1	1	AQ(1);
C32	0	0	
C33	0	0	
C34	0	0	
C35	0	0	
C36	0	0	
C37	0	0	
C38	0	0	
C39	0	0	
C40	0	0	
C41	0	0	
C42	0	0	
