Track	Block	Day No	Starting Time	Ending Time
C1	AX	1	Day1,0:52	Day1,11:26
C1	AV	1	Day1,11:26	Day1,18:36
C1	AH	1	Day1,18:36	Day1,20:14
C1	AD	1	Day1,20:14	Day1,22:41
C1	AV	1	Day1,22:41	Day2,9:2
C1	AY	2	Day2,9:2	Day2,13:8
C1	AH	2	Day2,13:8	Day2,15:27
C1	AF	2	Day2,15:27	Day2,21:45
C1	AE	2	Day2,21:45	Day3,0:27
C1	AF	3	Day3,0:27	Day3,2:0
C1	AH	3	Day3,2:0	Day3,8:13
C1	BC	3	Day3,8:13	Day3,13:39
C1	AE	3	Day3,13:39	Day3,20:31
C1	AN	3	Day3,20:31	Day4,2:44
C1	AU	4	Day4,2:44	Day4,7:30
C1	AY	4	Day4,7:30	Day4,11:56
C1	BB	4	Day4,11:56	Day4,14:46
C1	BE	4	Day4,14:46	Day4,21:44
C1	AP	4	Day4,21:44	Day4,23:32
C1	AK	4	Day4,23:32	Day5,0:55
C1	AH	5	Day5,0:55	Day5,3:56
C1	AK	5	Day5,3:56	Day5,5:47
C1	AW	5	Day5,5:47	Day5,7:15
C1	AV	5	Day5,7:15	Day5,13:14
C1	AP	5	Day5,13:14	Day5,14:52
C1	AD	5	Day5,14:52	Day5,20:2
C1	AV	5	Day5,20:2	Day6,0:26
C1	AZ	6	Day6,0:26	Day6,9:51
C1	AV	6	Day6,9:51	Day6,16:1
C1	AP	6	Day6,16:1	Day6,17:34
C1	AK	6	Day6,17:34	Day6,22:12
C1	AK	6	Day6,22:12	Day7,2:55
C1	BE	7	Day7,2:55	Day7,7:25
C1	AP	7	Day7,7:25	Day7,10:26
C1	AF	7	Day7,10:26	Day7,12:3
C1	AX	7	Day7,12:3	Day7,15:19
C1	BG	7	Day7,15:19	Day7,22:25
C1	AB	7	Day7,22:25	Day8,1:18
C1	AW	8	Day8,1:18	Day8,2:28
C1	AK	8	Day8,2:28	Day8,6:5
C1	AH	8	Day8,6:5	Day8,7:57
C1	AE	8	Day8,7:57	Day8,9:59
C1	AY	8	Day8,9:59	Day8,14:35
C1	AW	8	Day8,14:35	Day8,16:9
C1	AW	8	Day8,16:9	Day8,18:52
C1	BC	8	Day8,18:52	Day9,0:27
C1	AP	9	Day9,0:27	Day9,1:58
C1	AP	9	Day9,1:58	Day9,2:53
C1	AF	9	Day9,2:53	Day9,3:49
C1	BB	9	Day9,3:49	Day9,5:40
C1	AC	9	Day9,5:40	Day9,13:31
C1	AR	9	Day9,13:31	Day9,16:47
C1	AH	9	Day9,16:47	Day9,20:40
C1	AW	9	Day9,20:40	Day9,21:27
C1	AH	9	Day9,21:27	Day9,23:27
