outbound Train No	Day No	PullBack engine No	Starting time of pullback job	ending time of pullback job	departure time at departure area	Departure track No	Number of blocks	number of railcars	destination of blocks(associated number of cars)
o1	1	1	Day1,8:33	Day1,9:13	Day1,9:58	1	3	29	AW(15);AY(7);AF(7);
o2	1	2	Day1,8:33	Day1,9:28	Day1,10:13	2	4	28	AP(8);AJ(7);BG(7);AN(6);
o3	1	1	Day1,10:16	Day1,10:41	Day1,11:26	1	2	31	AH(17);AK(14);
o4	1	2	Day1,10:16	Day1,11:11	Day1,11:56	3	4	28	AD(11);AB(8);AS(5);AF(4);
o5	1	1	Day1,10:41	Day1,11:51	Day1,12:36	2	5	28	AA(8);AP(7);BE(5);BC(4);AJ(4);
o6	1	2	Day1,11:26	Day1,11:51	Day1,12:46	1	2	31	AV(23);AZ(8);
o7	1	1	Day1,11:51	Day1,12:16	Day1,13:1	4	2	33	AX(20);AC(13);
o8	1	2	Day1,11:51	Day1,12:16	Day1,13:11	5	2	28	AW(16);AR(12);
o9	1	1	Day1,12:16	Day1,12:56	Day1,13:41	3	3	27	AH(12);AK(8);AE(7);
o10	1	2	Day1,14:58	Day1,15:23	Day1,16:8	1	2	28	AP(16);BF(12);
o11	1	1	Day1,14:58	Day1,15:38	Day1,16:23	2	3	27	BG(10);AN(9);AJ(8);
o12	1	2	Day1,15:40	Day1,16:5	Day1,16:50	3	2	28	BD(15);AQ(13);
o13	1	1	Day1,15:40	Day1,16:20	Day1,17:5	4	3	28	AD(11);AB(9);AU(8);
o14	1	2	Day1,16:5	Day1,16:45	Day1,17:30	5	3	28	AY(11);AW(10);AR(7);
o15	1	1	Day1,16:40	Day1,17:5	Day1,17:50	1	2	29	AH(18);AK(11);
o16	1	2	Day1,16:45	Day1,17:25	Day1,18:10	2	3	29	AA(14);BE(8);AN(7);
o17	1	1	Day1,17:5	Day1,17:45	Day1,18:30	3	3	25	AX(12);AC(9);AG(4);
o18	1	2	Day1,17:25	Day1,18:5	Day1,18:50	4	3	26	AF(12);AW(9);AY(5);
o19	1	1	Day1,17:45	Day1,18:40	Day1,19:25	5	4	26	BB(9);BA(8);AS(7);AD(2);
o20	1	2	Day1,18:36	Day1,18:46	Day1,19:35	1	1	29	AV(29);
o21	1	1	Day1,18:40	Day1,19:5	Day1,19:50	2	2	37	AH(19);AK(18);
o22	1	2	Day1,18:46	Day1,19:11	Day1,20:0	3	2	34	AW(17);AR(17);
o23	1	1	Day1,19:5	Day1,19:30	Day1,20:15	4	2	26	AL(14);AI(12);
o24	1	2	Day1,19:11	Day1,19:51	Day1,20:36	6	3	32	AP(12);BG(11);AN(9);
o25	1	1	Day1,19:30	Day1,20:25	Day1,21:10	5	4	26	AF(8);AD(8);AB(5);BB(5);
o26	1	2	Day1,20:14	Day1,20:39	Day1,21:24	1	2	29	AE(17);AH(12);
o27	1	1	Day1,20:25	Day1,20:50	Day1,21:35	2	2	29	AX(16);AC(13);
o28	1	2	Day1,20:39	Day1,21:19	Day1,22:4	3	3	33	AJ(14);BC(10);AP(9);
o29	1	1	Day1,20:50	Day1,21:30	Day1,22:15	4	3	28	AW(12);AY(9);AF(7);
o30	2	2	Day1,21:19	Day1,22:29	Day1,23:14	5	5	26	AS(8);AU(7);BB(5);AB(3);AD(3);
o31	2	1	Day1,22:41	Day1,23:6	Day1,23:51	1	2	29	AK(15);AT(14);
o32	2	2	Day1,22:41	Day1,23:6	Day2,0:1	2	2	26	BF(14);AP(12);
o33	2	1	Day1,23:6	Day1,23:31	Day2,0:16	3	2	26	AV(14);AZ(12);
o34	2	2	Day1,23:6	Day1,23:46	Day2,0:31	4	3	27	AN(13);BG(10);AJ(4);
o35	2	1	Day1,23:31	Day2,0:11	Day2,0:56	5	3	29	AR(12);AW(9);AY(8);
o36	2	2	Day1,23:46	Day2,1:11	Day2,1:56	6	6	26	AF(6);BB(5);BA(5);AU(4);AD(3);AB(3);
o37	2	1	Day2,1:19	Day2,1:29	Day2,2:14	1	1	27	AM(27);
o38	2	2	Day2,1:19	Day2,1:44	Day2,2:29	2	2	29	AH(20);AE(9);
o39	2	1	Day2,1:29	Day2,2:9	Day2,2:54	3	3	28	AP(10);AA(10);BE(8);
o40	2	2	Day2,2:1	Day2,2:26	Day2,3:11	4	2	28	AW(19);AF(9);
o41	2	1	Day2,2:9	Day2,2:34	Day2,3:21	5	2	26	AQ(17);BD(9);
o42	2	2	Day2,2:26	Day2,3:6	Day2,3:51	1	3	27	AC(11);AX(11);AG(5);
